Participant,Item,RT,Condition
1,1,757,Slow
1,2,753,Slow
1,3,681,Fast
1,4,731,Fast
1,5,802,Slow
1,6,763,Slow
1,7,722,Fast
1,8,716,Fast
1,9,690,Slow
1,10,791,Slow
1,11,771,Fast
1,12,678,Fast
1,13,682,Slow
1,14,716,Slow
1,15,809,Fast
1,16,775,Fast
2,1,793,Slow
2,2,759,Slow
2,3,761,Fast
2,4,774,Fast
2,5,825,Slow
2,6,705,Slow
2,7,787,Fast
2,8,726,Fast
2,9,774,Slow
2,10,714,Slow
2,11,722,Fast
2,12,719,Fast
2,13,651,Slow
2,14,779,Slow
2,15,728,Fast
2,16,761,Fast
3,1,745,Slow
3,2,720,Slow
3,3,710,Fast
3,4,725,Fast
3,5,814,Slow
3,6,670,Slow
3,7,724,Fast
3,8,766,Fast
3,9,675,Slow
3,10,698,Slow
3,11,645,Fast
3,12,710,Fast
3,13,650,Slow
3,14,770,Slow
3,15,752,Fast
3,16,800,Fast
4,1,656,Slow
4,2,771,Slow
4,3,803,Fast
4,4,651,Fast
4,5,723,Slow
4,6,695,Slow
4,7,784,Fast
4,8,697,Fast
4,9,661,Slow
4,10,633,Slow
4,11,681,Fast
4,12,644,Fast
4,13,703,Slow
4,14,713,Slow
4,15,819,Fast
4,16,723,Fast
5,1,820,Slow
5,2,702,Slow
5,3,738,Fast
5,4,697,Fast
5,5,765,Slow
5,6,686,Slow
5,7,696,Fast
5,8,677,Fast
5,9,745,Slow
5,10,724,Slow
5,11,621,Fast
5,12,649,Fast
5,13,691,Slow
5,14,732,Slow
5,15,709,Fast
5,16,843,Fast
6,1,741,Slow
6,2,669,Slow
6,3,727,Fast
6,4,744,Fast
6,5,657,Slow
6,6,789,Slow
6,7,784,Fast
6,8,637,Fast
6,9,761,Slow
6,10,726,Slow
6,11,678,Fast
6,12,662,Fast
6,13,662,Slow
6,14,722,Slow
6,15,729,Fast
6,16,758,Fast
7,1,761,Slow
7,2,721,Slow
7,3,678,Fast
7,4,761,Fast
7,5,709,Slow
7,6,691,Slow
7,7,748,Fast
7,8,708,Fast
7,9,663,Slow
7,10,778,Slow
7,11,626,Fast
7,12,635,Fast
7,13,704,Slow
7,14,731,Slow
7,15,741,Fast
7,16,672,Fast
8,1,746,Slow
8,2,725,Slow
8,3,687,Fast
8,4,662,Fast
8,5,687,Slow
8,6,771,Slow
8,7,698,Fast
8,8,691,Fast
8,9,638,Slow
8,10,653,Slow
8,11,693,Fast
8,12,605,Fast
8,13,615,Slow
8,14,819,Slow
8,15,754,Fast
8,16,694,Fast
9,1,790,Fast
9,2,763,Slow
9,3,683,Slow
9,4,741,Fast
9,5,837,Fast
9,6,784,Slow
9,7,758,Slow
9,8,740,Fast
9,9,685,Fast
9,10,723,Slow
9,11,715,Slow
9,12,724,Fast
9,13,669,Fast
9,14,669,Slow
9,15,809,Slow
9,16,727,Fast
10,1,799,Fast
10,2,725,Slow
10,3,691,Slow
10,4,693,Fast
10,5,724,Fast
10,6,713,Slow
10,7,782,Slow
10,8,707,Fast
10,9,652,Fast
10,10,726,Slow
10,11,659,Slow
10,12,647,Fast
10,13,635,Fast
10,14,730,Slow
10,15,753,Slow
10,16,752,Fast
11,1,NA,Fast
11,2,784,Slow
11,3,737,Slow
11,4,734,Fast
11,5,704,Fast
11,6,704,Slow
11,7,793,Slow
11,8,740,Fast
11,9,722,Fast
11,10,816,Slow
11,11,658,Slow
11,12,726,Fast
11,13,NA,Fast
11,14,713,Slow
11,15,827,Slow
11,16,786,Fast
12,1,775,Fast
12,2,746,Slow
12,3,721,Slow
12,4,777,Fast
12,5,757,Fast
12,6,740,Slow
12,7,740,Slow
12,8,756,Fast
12,9,730,Fast
12,10,754,Slow
12,11,743,Slow
12,12,689,Fast
12,13,699,Fast
12,14,692,Slow
12,15,793,Slow
12,16,816,Fast
13,1,767,Fast
13,2,792,Slow
13,3,678,Slow
13,4,737,Fast
13,5,810,Fast
13,6,692,Slow
13,7,774,Slow
13,8,735,Fast
13,9,727,Fast
13,10,800,Slow
13,11,688,Slow
13,12,671,Fast
13,13,685,Fast
13,14,672,Slow
13,15,780,Slow
