Participant,Item,Regress,Prime,Target
1,1,1,Positive,Positive
1,2,0,Positive,Negative
1,3,0,Negative,Negative
1,4,0,Negative,Positive
1,5,1,Positive,Positive
1,6,1,Positive,Negative
1,7,0,Negative,Negative
1,8,0,Negative,Positive
1,9,0,Positive,Positive
1,10,0,Positive,Negative
1,11,1,Negative,Negative
1,12,0,Negative,Positive
1,13,1,Positive,Positive
1,14,0,Positive,Negative
1,15,0,Negative,Negative
1,16,0,Negative,Positive
1,17,0,Positive,Positive
1,18,0,Positive,Negative
1,19,1,Negative,Negative
1,20,0,Negative,Positive
1,21,1,Positive,Positive
1,22,0,Positive,Negative
1,23,0,Negative,Negative
1,24,0,Negative,Positive
1,25,0,Positive,Positive
1,26,1,Positive,Negative
1,27,0,Negative,Negative
1,28,0,Negative,Positive
1,29,1,Positive,Positive
1,30,0,Positive,Negative
1,31,0,Negative,Negative
1,32,0,Negative,Positive
2,1,1,Positive,Positive
2,2,0,Positive,Negative
2,3,1,Negative,Negative
2,4,0,Negative,Positive
2,5,1,Positive,Positive
2,6,1,Positive,Negative
2,7,1,Negative,Negative
2,8,0,Negative,Positive
2,9,1,Positive,Positive
2,10,0,Positive,Negative
2,11,1,Negative,Negative
2,12,1,Negative,Positive
2,13,0,Positive,Positive
2,14,1,Positive,Negative
2,15,0,Negative,Negative
2,16,1,Negative,Positive
2,17,1,Positive,Positive
2,18,1,Positive,Negative
2,19,0,Negative,Negative
2,20,1,Negative,Positive
2,21,1,Positive,Positive
2,22,1,Positive,Negative
2,23,0,Negative,Negative
2,24,1,Negative,Positive
2,25,0,Positive,Positive
2,26,1,Positive,Negative
2,27,1,Negative,Negative
2,28,0,Negative,Positive
2,29,1,Positive,Positive
2,30,1,Positive,Negative
2,31,1,Negative,Negative
2,32,0,Negative,Positive
3,1,1,Positive,Positive
3,2,0,Positive,Negative
3,3,0,Negative,Negative
3,4,1,Negative,Positive
3,5,0,Positive,Positive
3,6,0,Positive,Negative
3,7,0,Negative,Negative
3,8,0,Negative,Positive
3,9,0,Positive,Positive
3,10,0,Positive,Negative
3,11,0,Negative,Negative
3,12,0,Negative,Positive
3,13,0,Positive,Positive
3,14,1,Positive,Negative
3,15,0,Negative,Negative
3,16,1,Negative,Positive
3,17,0,Positive,Positive
3,18,0,Positive,Negative
3,19,0,Negative,Negative
3,20,1,Negative,Positive
3,21,0,Positive,Positive
3,22,0,Positive,Negative
3,23,1,Negative,Negative
3,24,0,Negative,Positive
3,25,0,Positive,Positive
3,26,1,Positive,Negative
3,27,1,Negative,Negative
3,28,0,Negative,Positive
3,29,0,Positive,Positive
3,30,1,Positive,Negative
3,31,1,Negative,Negative
3,32,0,Negative,Positive
4,1,0,Positive,Positive
4,2,0,Positive,Negative
4,3,1,Negative,Negative
4,4,0,Negative,Positive
4,5,0,Positive,Positive
4,6,1,Positive,Negative
4,7,1,Negative,Negative
4,8,0,Negative,Positive
4,9,1,Positive,Positive
4,10,0,Positive,Negative
4,11,1,Negative,Negative
4,12,1,Negative,Positive
4,13,1,Positive,Positive
4,14,1,Positive,Negative
4,15,0,Negative,Negative
4,16,1,Negative,Positive
4,17,1,Positive,Positive
4,18,1,Positive,Negative
4,19,0,Negative,Negative
4,20,1,Negative,Positive
